1,外三元,海南省,16.71元,8.36元
2,外三元,上海市,14.75元,7.38元
3,外三元,广东省,14.45元,7.23元
4,外三元,贵州省,14.19元,7.10元
5,外三元,浙江省,14.16元,7.08元
6,外三元,福建省,14.05元,7.03元
7,外三元,江苏省,14.01元,7.01元
8,外三元,湖南省,13.97元,6.99元
9,外三元,山东省,13.81元,6.91元
10,外三元,安徽省,13.67元,6.84元
11,外三元,重庆市,13.60元,6.80元
12,外三元,四川省,13.60元,6.80元
13,外三元,广西,13.60元,6.80元
14,外三元,青海省,13.49元,6.75元
15,外三元,江西省,13.43元,6.72元
16,外三元,西藏,13.40元,6.70元
17,外三元,河南省,13.35元,6.68元
18,外三元,天津市,13.34元,6.67元
19,外三元,湖北省,13.29元,6.65元
20,外三元,北京市,13.29元,6.65元
21,外三元,河北省,13.15元,6.58元
22,外三元,山西省,12.90元,6.45元
23,外三元,陕西省,12.58元,6.29元
24,外三元,内蒙古,12.53元,6.27元
25,外三元,辽宁省,12.37元,6.19元
26,外三元,甘肃省,12.34元,6.17元
27,外三元,吉林省,12.31元,6.16元
28,外三元,宁夏,12.16元,6.08元
29,外三元,云南省,12.16元,6.08元
30,外三元,黑龙江省,11.95元,5.98元
31,外三元,新疆,11.31元,5.66元
1,外三元,海南省,17.86元,8.93元
2,外三元,浙江省,14.96元,7.48元
3,外三元,西藏,14.79元,7.40元
4,外三元,广东省,14.48元,7.24元
5,外三元,贵州省,14.40元,7.20元
6,外三元,湖南省,14.36元,7.18元
7,外三元,安徽省,14.11元,7.06元
8,外三元,广西,14.03元,7.02元
9,外三元,上海市,14.00元,7.00元
10,外三元,福建省,14.00元,7.00元
11,外三元,宁夏,13.83元,6.92元
12,外三元,重庆市,13.60元,6.80元
13,外三元,山东省,13.55元,6.78元
14,外三元,四川省,13.52元,6.76元
15,外三元,江苏省,13.40元,6.70元
16,外三元,山西省,13.16元,6.58元
17,外三元,天津市,13.14元,6.57元
18,外三元,江西省,13.10元,6.55元
19,外三元,湖北省,13.05元,6.53元
20,外三元,北京市,13.00元,6.50元
21,外三元,河南省,12.97元,6.49元
22,外三元,甘肃省,12.73元,6.37元
23,外三元,陕西省,12.67元,6.34元
24,外三元,河北省,12.63元,6.32元
25,外三元,吉林省,12.44元,6.22元
26,外三元,内蒙古,12.20元,6.10元
27,外三元,辽宁省,12.08元,6.04元
28,外三元,云南省,11.98元,5.99元
29,外三元,黑龙江省,11.55元,5.78元
30,外三元,新疆,11.00元,5.50元
31,外三元,青海省,10.20元,5.10元
1,外三元,海南省,19.05元,9.53元
2,外三元,西藏,16.40元,8.20元
3,外三元,上海市,14.60元,7.30元
4,外三元,浙江省,14.32元,7.16元
5,外三元,贵州省,14.20元,7.10元
6,外三元,湖南省,14.09元,7.05元
7,外三元,广东省,14.02元,7.01元
8,外三元,福建省,14.00元,7.00元
9,外三元,安徽省,13.76元,6.88元
10,外三元,广西,13.74元,6.87元
11,外三元,宁夏,13.55元,6.78元
12,外三元,重庆市,13.38元,6.69元
13,外三元,江苏省,13.13元,6.57元
14,外三元,四川省,13.13元,6.57元
15,外三元,山东省,13.06元,6.53元
16,外三元,河南省,13.05元,6.53元
17,外三元,湖北省,12.83元,6.42元
18,外三元,江西省,12.80元,6.40元
19,外三元,天津市,12.80元,6.40元
20,外三元,河北省,12.79元,6.40元
21,外三元,山西省,12.79元,6.40元
22,外三元,北京市,12.64元,6.32元
23,外三元,甘肃省,12.49元,6.25元
24,外三元,陕西省,12.48元,6.24元
25,外三元,内蒙古,12.00元,6.00元
26,外三元,辽宁省,11.94元,5.97元
27,外三元,吉林省,11.93元,5.97元
28,外三元,青海省,11.88元,5.94元
29,外三元,云南省,11.65元,5.83元
30,外三元,黑龙江省,11.63元,5.82元
31,外三元,新疆,10.87元,5.44元
1,外三元,云南省,3071元,1535.50元
2,外三元,福建省,2940元,1470.00元
3,外三元,湖南省,2933元,1466.50元
4,外三元,宁夏,2923元,1461.50元
5,外三元,浙江省,2890元,1445.00元
6,外三元,湖北省,2850元,1425.00元
7,外三元,安徽省,2833元,1416.50元
8,外三元,四川省,2803元,1401.50元
9,外三元,江苏省,2801元,1400.50元
10,外三元,河北省,2794元,1397.00元
11,外三元,海南省,2776元,1388.00元
12,外三元,河南省,2775元,1387.50元
13,外三元,陕西省,2773元,1386.50元
14,外三元,重庆市,2766元,1383.00元
15,外三元,江西省,2742元,1371.00元
16,外三元,上海市,2718元,1359.00元
17,外三元,山东省,2717元,1358.50元
18,外三元,辽宁省,2705元,1352.50元
19,外三元,北京市,2700元,1350.00元
20,外三元,山西省,2678元,1339.00元
21,外三元,天津市,2650元,1325.00元
22,外三元,贵州省,2644元,1322.00元
23,外三元,广西,2620元,1310.00元
24,外三元,吉林省,2587元,1293.50元
25,外三元,广东省,2578元,1289.00元
26,外三元,甘肃省,2570元,1285.00元
27,外三元,黑龙江省,2561元,1280.50元
28,外三元,内蒙古,2450元,1225.00元
29,外三元,新疆,2375元,1187.50元
30,外三元,青海省,2050元,1025.00元
31,外三元,西藏,1899元,949.50元
1,外三元,甘肃省,4062元,2031.00元
2,外三元,山西省,3991元,1995.50元
3,外三元,新疆,3969元,1984.50元
4,外三元,湖北省,3960元,1980.00元
5,外三元,辽宁省,3933元,1966.50元
6,外三元,陕西省,3925元,1962.50元
7,外三元,湖南省,3921元,1960.50元
8,外三元,河南省,3918元,1959.00元
9,外三元,安徽省,3902元,1951.00元
10,外三元,云南省,3900元,1950.00元
11,外三元,四川省,3873元,1936.50元
12,外三元,重庆市,3825元,1912.50元
13,外三元,山东省,3823元,1911.50元
14,外三元,浙江省,3783元,1891.50元
15,外三元,黑龙江省,3762元,1881.00元
16,外三元,江西省,3758元,1879.00元
17,外三元,河北省,3758元,1879.00元
18,外三元,宁夏,3754元,1877.00元
19,外三元,北京市,3747元,1873.50元
20,外三元,吉林省,3745元,1872.50元
21,外三元,贵州省,3743元,1871.50元
22,外三元,上海市,3732元,1866.00元
23,外三元,天津市,3692元,1846.00元
24,外三元,福建省,3690元,1845.00元
25,外三元,江苏省,3676元,1838.00元
26,外三元,海南省,3656元,1828.00元
27,外三元,广东省,3612元,1806.00元
28,外三元,广西,3581元,1790.50元
29,外三元,内蒙古,3414元,1707.00元
30,外三元,青海省,3256元,1628.00元
31,外三元,西藏,2516元,1258.00元
